State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
21,0,0,0,0,0,STATE,ODISHA,Total,9637820,41974218,21212136,20762082,5273194,2716497,2556697,7188463,3617808,3570655,9590756,4727732,4863024,26742595,15089681,11652914,15231623,6122455,9109168,17541589,11902655,5638934,10707543,8794413,1913130,3279769,2924537,355232,2420540,1746831,673709,441486,315176,126310,4565748,3807869,757879,6834046,3108242,3725804,824220,450813,373407,4319453,1735005,2584448,341594,124039,217555,1348779,798385,550394,5597143,2610626,2986517,667541,380032,287509,3576371,1468309,2108062,266179,99662,166517,1087052,662623,424429,1236903,497616,739287,156679,70781,85898,743082,266696,476386,75415,24377,51038,261727,135762,125965,24432629,9309481,15123148
21,0,0,0,0,0,STATE,ODISHA,Rural,8089987,34970562,17586203,17384359,4525870,2325832,2200038,6218642,3127719,3090923,8994967,4428522,4566445,21377915,12154552,9223363,13592647,5431651,8160996,15103714,9941574,5162140,8623947,7045991,1577956,3219409,2869857,349552,2355909,1697973,657936,345719,238211,107508,2702910,2239950,462960,6479767,2895583,3584184,810942,442804,368138,4263034,1706770,2556264,313572,109696,203876,1092219,636313,455906,5294257,2426755,2867502,655568,372777,282791,3531011,1444381,2086630,243733,87888,155845,863945,521709,342236,1185510,468828,716682,155374,70027,85347,732023,262389,469634,69839,21808,48031,228274,114604,113670,19866848,7644629,12222219
21,0,0,0,0,0,STATE,ODISHA,Urban,1547833,7003656,3625933,3377723,747324,390665,356659,969821,490089,479732,595789,299210,296579,5364680,2935129,2429551,1638976,690804,948172,2437875,1961081,476794,2083596,1748422,335174,60360,54680,5680,64631,48858,15773,95767,76965,18802,1862838,1567919,294919,354279,212659,141620,13278,8009,5269,56419,28235,28184,28022,14343,13679,256560,162072,94488,302886,183871,119015,11973,7255,4718,45360,23928,21432,22446,11774,10672,223107,140914,82193,51393,28788,22605,1305,754,551,11059,4307,6752,5576,2569,3007,33453,21158,12295,4565781,1664852,2900929
21,370,0,0,0,0,DISTRICT,Bargarh,Total,370308,1481255,749161,732094,162922,83267,79655,298780,150420,148360,281135,140542,140593,983783,557217,426566,497472,191944,305528,762092,473305,288787,474390,372806,101584,173496,153167,20329,152438,103347,49091,34886,23513,11373,113570,92779,20791,287702,100499,187203,42917,15194,27723,208212,68350,139862,13259,4130,9129,23314,12825,10489,239923,84298,155625,34087,12196,21891,175824,58382,117442,11121,3289,7832,18891,10431,8460,47779,16201,31578,8830,2998,5832,32388,9968,22420,2138,841,1297,4423,2394,2029,719163,275856,443307
21,370,0,0,0,0,DISTRICT,Bargarh,Rural,336130,1331145,672603,658542,146333,74709,71624,269396,135660,133736,270996,135586,135410,869172,494987,374185,461973,177616,284357,706885,429942,276943,426776,333482,93294,171617,151392,20225,150632,102041,48591,30443,20389,10054,74084,59660,14424,280109,96460,183649,42526,15014,27512,207014,67880,139134,12179,3771,8408,18390,9795,8595,233403,80912,152491,33741,12035,21706,174842,57985,116857,10160,2996,7164,14660,7896,6764,46706,15548,31158,8785,2979,5806,32172,9895,22277,2019,775,1244,3730,1899,1831,624260,242661,381599
21,370,0,0,0,0,DISTRICT,Bargarh,Urban,34178,150110,76558,73552,16589,8558,8031,29384,14760,14624,10139,4956,5183,114611,62230,52381,35499,14328,21171,55207,43363,11844,47614,39324,8290,1879,1775,104,1806,1306,500,4443,3124,1319,39486,33119,6367,7593,4039,3554,391,180,211,1198,470,728,1080,359,721,4924,3030,1894,6520,3386,3134,346,161,185,982,397,585,961,293,668,4231,2535,1696,1073,653,420,45,19,26,216,73,143,119,66,53,693,495,198,94903,33195,61708
21,370,2755,0,0,0,SUB-DISTRICT,Paikamal,Total,22369,91916,45732,46184,11791,5972,5819,13544,6754,6790,35209,17525,17684,52917,30855,22062,38999,14877,24122,46853,26955,19898,25292,19400,5892,9893,8784,1109,10334,6594,3740,476,399,77,4589,3623,966,21561,7555,14006,2767,1165,1602,17373,5640,11733,276,103,173,1145,647,498,18373,6451,11922,2294,991,1303,14968,4882,10086,233,82,151,878,496,382,3188,1104,2084,473,174,299,2405,758,1647,43,21,22,267,151,116,45063,18777,26286
21,370,2755,0,0,0,SUB-DISTRICT,Paikamal,Rural,22369,91916,45732,46184,11791,5972,5819,13544,6754,6790,35209,17525,17684,52917,30855,22062,38999,14877,24122,46853,26955,19898,25292,19400,5892,9893,8784,1109,10334,6594,3740,476,399,77,4589,3623,966,21561,7555,14006,2767,1165,1602,17373,5640,11733,276,103,173,1145,647,498,18373,6451,11922,2294,991,1303,14968,4882,10086,233,82,151,878,496,382,3188,1104,2084,473,174,299,2405,758,1647,43,21,22,267,151,116,45063,18777,26286
21,370,2755,0,0,0,SUB-DISTRICT,Paikamal,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,370,2756,0,0,0,SUB-DISTRICT,Jharbandha,Total,25578,103676,51217,52459,12918,6570,6348,16034,7777,8257,29886,14755,15131,61345,35017,26328,42331,16200,26131,57413,31362,26051,29937,23286,6651,15353,13103,2250,11028,7381,3647,439,355,84,3117,2447,670,27476,8076,19400,3983,1282,2701,22432,6329,16103,393,117,276,668,348,320,23071,6741,16330,3135,1062,2073,19063,5301,13762,325,91,234,548,287,261,4405,1335,3070,848,220,628,3369,1028,2341,68,26,42,120,61,59,46263,19855,26408
21,370,2756,0,0,0,SUB-DISTRICT,Jharbandha,Rural,25578,103676,51217,52459,12918,6570,6348,16034,7777,8257,29886,14755,15131,61345,35017,26328,42331,16200,26131,57413,31362,26051,29937,23286,6651,15353,13103,2250,11028,7381,3647,439,355,84,3117,2447,670,27476,8076,19400,3983,1282,2701,22432,6329,16103,393,117,276,668,348,320,23071,6741,16330,3135,1062,2073,19063,5301,13762,325,91,234,548,287,261,4405,1335,3070,848,220,628,3369,1028,2341,68,26,42,120,61,59,46263,19855,26408
21,370,2756,0,0,0,SUB-DISTRICT,Jharbandha,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,370,2757,0,0,0,SUB-DISTRICT,Padmapur,Total,19586,81259,40861,40398,9008,4755,4253,13557,6764,6793,17154,8550,8604,53092,29664,23428,28167,11197,16970,41705,25213,16492,24151,18950,5201,6045,5343,702,7788,5408,2380,2269,1525,744,8049,6674,1375,17554,6263,11291,2762,1062,1700,13001,4323,8678,714,224,490,1077,654,423,15059,5572,9487,1991,866,1125,11576,3971,7605,595,184,411,897,551,346,2495,691,1804,771,196,575,1425,352,1073,119,40,79,180,103,77,39554,15648,23906
21,370,2757,0,0,0,SUB-DISTRICT,Padmapur,Rural,15756,63634,31873,31761,7109,3713,3396,10961,5459,5502,15225,7605,7620,39999,22540,17459,23635,9333,14302,36059,20458,15601,19101,14598,4503,5754,5058,696,7541,5195,2346,1943,1266,677,3863,3079,784,16958,5860,11098,2732,1036,1696,12739,4158,8581,693,214,479,794,452,342,14541,5208,9333,1961,840,1121,11351,3813,7538,578,176,402,651,379,272,2417,652,1765,771,196,575,1388,345,1043,115,38,77,143,73,70,27575,11415,16160
21,370,2757,0,0,0,SUB-DISTRICT,Padmapur,Urban,3830,17625,8988,8637,1899,1042,857,2596,1305,1291,1929,945,984,13093,7124,5969,4532,1864,2668,5646,4755,891,5050,4352,698,291,285,6,247,213,34,326,259,67,4186,3595,591,596,403,193,30,26,4,262,165,97,21,10,11,283,202,81,518,364,154,30,26,4,225,158,67,17,8,9,246,172,74,78,39,39,0,0,0,37,7,30,4,2,2,37,30,7,11979,4233,7746
21,370,2757,801803,0,0,TOWN,Padmapur (NAC),Urban,3830,17625,8988,8637,1899,1042,857,2596,1305,1291,1929,945,984,13093,7124,5969,4532,1864,2668,5646,4755,891,5050,4352,698,291,285,6,247,213,34,326,259,67,4186,3595,591,596,403,193,30,26,4,262,165,97,21,10,11,283,202,81,518,364,154,30,26,4,225,158,67,17,8,9,246,172,74,78,39,39,0,0,0,37,7,30,4,2,2,37,30,7,11979,4233,7746
