State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
5,0,0,0,0,0,STATE,UTTARAKHAND,Total,2056975,10086292,5137773,4948519,1355814,717199,638615,1892516,968586,923930,291903,148669,143234,6880953,3863708,3017245,3205339,1274065,1931274,3872275,2551921,1320354,2870624,2070760,799864,1045674,545561,500113,247256,196375,50881,77040,54101,22939,1500654,1274723,225931,1001651,481161,520490,534749,189851,344898,156045,90165,65880,37272,15190,22082,273585,185955,87630,756840,373473,383367,383359,134058,249301,120549,73027,47522,28304,11744,16560,224628,154644,69984,244811,107688,137123,151390,55793,95597,35496,17138,18358,8968,3446,5522,48957,31311,17646,6214017,2585852,3628165
5,0,0,0,0,0,STATE,UTTARAKHAND,Rural,1425086,7036954,3519042,3517912,990776,521792,468984,1496665,761103,735562,264819,134691,130128,4614050,2596171,2017879,2422904,922871,1500033,2885533,1726674,1158859,1997332,1322523,674809,1027923,532558,495365,225529,177948,47581,46685,30064,16621,697195,581953,115242,888201,404151,484050,530707,188063,342644,147312,83961,63351,30255,11832,18423,179927,120295,59632,658831,306695,352136,379911,132488,247423,113491,67896,45595,22695,8966,13729,142734,97345,45389,229370,97456,131914,150796,55575,95221,33821,16065,17756,7560,2866,4694,37193,22950,14243,4151421,1792368,2359053
5,0,0,0,0,0,STATE,UTTARAKHAND,Urban,631889,3049338,1618731,1430607,365038,195407,169631,395851,207483,188368,27084,13978,13106,2266903,1267537,999366,782435,351194,431241,986742,825247,161495,873292,748237,125055,17751,13003,4748,21727,18427,3300,30355,24037,6318,803459,692770,110689,113450,77010,36440,4042,1788,2254,8733,6204,2529,7017,3358,3659,93658,65660,27998,98009,66778,31231,3448,1570,1878,7058,5131,1927,5609,2778,2831,81894,57299,24595,15441,10232,5209,594,218,376,1675,1073,602,1408,580,828,11764,8361,3403,2062596,793484,1269112
5,56,0,0,0,0,DISTRICT,Uttarkashi,Total,67602,330086,168597,161489,46307,24165,22142,80567,40833,39734,3512,1651,1861,215126,128237,86889,114960,40360,74600,157276,84265,73011,128367,71598,56769,96836,46589,50247,2389,1526,863,1960,1249,711,27182,22234,4948,28909,12667,16242,20428,8067,12361,1998,934,1064,1162,488,674,5321,3178,2143,22145,9746,12399,15297,5985,9312,1424,681,743,851,340,511,4573,2740,1833,6764,2921,3843,5131,2082,3049,574,253,321,311,148,163,748,438,310,172810,84332,88478
5,56,0,0,0,0,DISTRICT,Uttarkashi,Rural,61914,305781,155375,150406,43663,22691,20972,76875,38936,37939,3374,1581,1793,195909,117095,78814,109872,38280,71592,149067,77991,71076,121215,66015,55200,96301,46358,49943,2324,1479,845,1697,1031,666,20893,17147,3746,27852,11976,15876,20219,7981,12238,1948,899,1049,1072,443,629,4613,2653,1960,21309,9181,12128,15196,5933,9263,1379,649,730,776,304,472,3958,2295,1663,6543,2795,3748,5023,2048,2975,569,250,319,296,139,157,655,358,297,156714,77384,79330
5,56,0,0,0,0,DISTRICT,Uttarkashi,Urban,5688,24305,13222,11083,2644,1474,1170,3692,1897,1795,138,70,68,19217,11142,8075,5088,2080,3008,8209,6274,1935,7152,5583,1569,535,231,304,65,47,18,263,218,45,6289,5087,1202,1057,691,366,209,86,123,50,35,15,90,45,45,708,525,183,836,565,271,101,52,49,45,32,13,75,36,39,615,445,170,221,126,95,108,34,74,5,3,2,15,9,6,93,80,13,16096,6948,9148
5,56,278,0,0,0,SUB-DISTRICT,Puraula,Total,6521,33792,17106,16686,4884,2518,2366,11874,5959,5915,663,267,396,21319,12636,8683,12473,4470,8003,15590,8141,7449,13752,7400,6352,11533,5677,5856,252,148,104,99,78,21,1868,1497,371,1838,741,1097,1553,569,984,137,79,58,21,12,9,127,81,46,1185,523,662,967,399,568,100,53,47,14,9,5,104,62,42,653,218,435,586,170,416,37,26,11,7,3,4,23,19,4,18202,8965,9237
5,56,278,0,0,0,SUB-DISTRICT,Puraula,Rural,6521,33792,17106,16686,4884,2518,2366,11874,5959,5915,663,267,396,21319,12636,8683,12473,4470,8003,15590,8141,7449,13752,7400,6352,11533,5677,5856,252,148,104,99,78,21,1868,1497,371,1838,741,1097,1553,569,984,137,79,58,21,12,9,127,81,46,1185,523,662,967,399,568,100,53,47,14,9,5,104,62,42,653,218,435,586,170,416,37,26,11,7,3,4,23,19,4,18202,8965,9237
5,56,278,0,0,0,SUB-DISTRICT,Puraula,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,56,279,0,0,0,SUB-DISTRICT,Mori,Total,7473,40491,20840,19651,6673,3437,3236,12009,6174,5835,109,58,51,21523,13311,8212,18968,7529,11439,21385,11559,9826,18950,10617,8333,16262,8711,7551,824,535,289,153,89,64,1711,1282,429,2435,942,1493,1843,646,1197,362,174,188,54,25,29,176,97,79,1737,602,1135,1256,366,890,320,152,168,24,9,15,137,75,62,698,340,358,587,280,307,42,22,20,30,16,14,39,22,17,19106,9281,9825
