Station Name,State name,District / Town,Basin Name,River Name,Latitude,longitude,Division Name,Type Of Site
Roorkee,Uttarakhand,Haridwar,Ganga,Solani,29.88,77.89750000000001,"Himalayan Ganga Division,Haridwar",Base
Regauli,Uttar Pradesh,GORAKHPUR,Ganga,Rapti,27.016111111111112,83.21222222222222,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Marella,Andhra Pradesh,PRAKASAM,East flowing rivers between Mahanadi and Pennar,Gundlakamma,15.881944444444445,79.91000000000001,"Lower Krishna Division(LKD), Hyderabad",Base
Mathanguri,Assam,Baksa,Brahmaputra,Beki,26.782777777777778,90.95666666666666,"Middle Brahmaputra Division (MBD), Guwahati",Level
Langrimukh,Assam,Dima Hasao,Brahmaputra,Kopili,25.75777777777778,92.12444444444444,"Middle Brahmaputra Division (MBD), Guwahati",Base
NARORA Barrage,Uttar Pradesh,Buland Shahar,Ganga,Ganga,28.189444444444444,78.39611111111111,"Middle Ganga Division-II(MGD-II), Lucknow",Inflow
Maharo (Asanjor),Jharkhand,DUMKA,Ganga,Mayurakshi,24.32138888888889,87.20444444444445,"Damodar Division(DD), Asansol",Base
Lucknow,Uttar Pradesh,LUCKNOW,Ganga,Gomti,26.861944444444447,80.94611111111111,"Middle Ganga Division-II(MGD-II), Lucknow",Level
Doyang Hep Reservoir,Nagaland,WOKHA,Brahmaputra,Dhansiri,26.22972222222222,94.26611111111112,"Upper Brahmaputra Division (UBD), Dibrugarh",Inflow
Udalshe,Goa,SOUTH GOA,West flowing rivers from Tapi to Tadri,Ragada,15.415833333333333,74.15444444444445,"Cauvery Division, Bangaluru",Base
Bargi Reservoir,Madhya Pradesh,JABALPUR,Narmada,Narmada,22.93777777777778,79.92083333333333,"Narmada Division(ND), Bhopal",Inflow
Anthara,Rajasthan,BUNDI,Ganga,Ghodapachhad,25.39388888888889,75.77722222222222,"Chambal Division(CD), Jaipur",Base
Mahad,Maharashtra,Raigad,West flowing rivers from Tapi to Tadri,Savitri,18.092499999999998,73.46027777777778,"Upper Krishna Division(UKD), Pune",Base
Balat,Meghalaya,South West Khasi Hills,Minor rivers draining into Myanmar and Bangladesh,umngi,25.223888888888887,91.35527777777777,"Meghna Investigation Division(MID), Shillong",Base
Patan,Madhya Pradesh,JABALPUR,Narmada,Hiran,23.311666666666667,79.66277777777778,"Narmada Division(ND), Bhopal",Base
Varanasi,Uttar Pradesh,VARANASI,Ganga,Ganga,25.325833333333332,83.03999999999999,"Middle Ganga Division-III(MGD-III), Varanasi",Level
Gambhiri Dam,Rajasthan,CHITTORGARH,Ganga,Gambhir,24.699444444444445,74.71555555555555,"Chambal Division(CD), Jaipur",Inflow
Azmabad,Bihar,BHAGALPUR,Ganga,Ganga,25.33722222222222,87.26583333333333,"Lower Ganga Division-II(LGD-II), Patna",Base
Pandoh Dam_BBMB,Himachal Pradesh,MANDI,Indus,Beas,31.6725,77.06777777777778,Executive Engineer-I/ NHP BBMB Chandigarh,Base
Tezu,Arunachal Pradesh,LOHIT,Brahmaputra,Lohit,27.910833333333333,96.17055555555557,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
Simulia,West Bengal,PURULIYA,Ganga,Kangsabati,23.28777777777778,86.36027777777777,"Damodar Division(DD), Asansol",Base
Manendragarh,Chhattisgarh,KORIYA,Mahanadi,Hasdeo,23.20138888888889,82.21444444444445,"Mahanadi Division(MD), Burla",Base
Mahalgaon,Maharashtra,Gondia,Godavari,Wainganga,21.550555555555555,80.02666666666667,"Wainganga Division(WD), Nagpur",Base
Gelabil,Assam,GOLAGHAT,Brahmaputra,Doyang,26.233888888888888,93.97722222222222,"Upper Brahmaputra Division (UBD), Dibrugarh",Base
OZERKHEDA,Maharashtra,Nashik,West flowing rivers from Tapi to Tadri,Wagh,20.10027777777778,73.27111111111111,"Executive Engineer, Tapi Division, Surat",Base
RAJMAHAL (SEASONAL),Jharkhand,Sahebganj,Ganga,Ganga,25.057222222222222,87.83555555555554,"Lower Ganga Division III(LGD-III), Berhampore",Base
DURGAPUR BARRAGE,West Bengal,PURBA BARDHAMAN,Ganga,Damodar,23.46638888888889,87.31638888888888,"Damodar Division(DD), Asansol",Inflow
Kakrahi,Uttar Pradesh,SIDDHARTHNAGAR,Ganga,Burhi Rapti,27.236666666666668,82.9961111111111,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Mount Abu,Rajasthan,SIROHI,West flowing rivers of Kutch and Saurashtra including Luni,Banas,24.586944444444445,72.70361111111112,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Badlapur,Maharashtra,Thane,West flowing rivers from Tapi to Tadri,Ulhas,19.16222222222222,73.25416666666666,"Upper Krishna Division(UKD), Pune",Base
THOTTATHINKADAVU,Kerala,KOZHIKODE,West flowing rivers from Tadri to Kanyakumari,Iruvazhinjipuzha,11.361944444444443,76.00194444444445,"Southern Western River Division(SWRD), Kochi",Base
Delhi Railway Bridge,Delhi,NORTH,Ganga,Yamuna,28.662499999999998,77.24888888888889,"Upper Yamuna Division(UYD), New Delhi",Level
Hipparagi Barrage,Karnataka,Bagalkote,Krishna,Krishna,16.55,75.16000000000001,"Lower Krishna Division(LKD), Hyderabad",Inflow
Sultanpur,Uttar Pradesh,SULTANPUR,Ganga,Gomti,26.275277777777777,82.0667,"Middle Ganga Division-III(MGD-III), Varanasi",Base
Kuthnaur,Uttarakhand,Uttarkashi,Ganga,Yamuna,30.874166666666667,78.30333333333333,"Upper Yamuna Division(UYD), New Delhi",Base
Upper Indravati Dam,Odisha,Nabarangapur,Godavari,Indravathi,19.27611111111111,82.82833333333333,"Lower Godavari Division(LGD), Hyderabad",Inflow
Kheda,Gujarat,Kheda,Sabarmati,Watrak,22.745833333333334,72.68,"Executive Engineer, Mahi Divison, Gandhinagar",Base
Birpur,Bihar,SUPAUL,Ganga,Kosi,26.52,86.93138888888889,"Lower Ganga Division-I(LGD-I), Patna",Base
NAGARAM,Telangana,KARIMNAGAR,Godavari,Maner,18.289166666666667,79.4738888888889,"Upper Godavari Division(UGD), Hyderabad",Base
Jauljibi,Uttarakhand,Pithoragarh,Ganga,Gauri Ganga,29.760555555555555,80.36944444444444,"Middle Ganga Division-I(MGD-I), Lucknow",Base
Sonapur,West Bengal,NORTH DINAJPUR,Ganga,Mahananda,26.454166666666666,88.24444444444444,"Lower Brahmaputra Division (LBD), Jalpaiguri",Base
Kheri,Himachal Pradesh,SIRMAUR,Ganga,Giri,30.779999999999998,77.29777777777778,"Upper Yamuna Division(UYD), New Delhi",Base
Sonarpal (Narangi Markandi),Chhattisgarh,BASTAR,Godavari,Narangi,19.26972222222222,81.88388888888889,"Lower Godavari Division(LGD), Hyderabad",Base
Piprauli,Haryana,Nuh,Ganga,Ujjina(U.D.D),27.828055555555554,77.15805555555556,"Upper Yamuna Division(UYD), New Delhi",Base
Chharour Nalla,Himachal Pradesh,KULLU,Indus,Parvati River,31.918333333333333,77.18,"Snow Hydrology Division(SHD), Shimla",Base
Bagla,Himachal Pradesh,MANDI,Indus,Suketi Khad,31.641666666666666,76.94972222222222,"Snow Hydrology Division(SHD), Shimla",Base
Solang,Himachal Pradesh,KULLU,Indus,Beas,32.32138888888889,77.15416666666667,"Snow Hydrology Division(SHD), Shimla",Base
Bajaura,Himachal Pradesh,KULLU,Indus,Beas,31.850833333333334,77.17,"Snow Hydrology Division(SHD), Shimla",Base
Sullurpet,Andhra Pradesh,NELLORE,East flowing rivers between Pennar and Kanyakumari,Kalangi,13.707777777777777,80.01,"Hydrology Division(HD),Chennai",Base
NARAJOLE,West Bengal,West Medinipur,Ganga,Shilabati,22.579722222222223,87.61472222222221,"Damodar Division(DD), Asansol",Base
Jamtara,Jharkhand,JAMTARA,Ganga,Ajoy,23.977777777777778,86.85499999999999,"Damodar Division(DD), Asansol",Base
Kullu,Himachal Pradesh,KULLU,Indus,Beas,31.955277777777777,77.11416666666666,"Snow Hydrology Division(SHD), Shimla",Base
Manali,Himachal Pradesh,KULLU,Indus,Beas,32.2475,77.19083333333333,"Snow Hydrology Division(SHD), Shimla",Base
Porakudi,Tamil Nadu,Nagapattinam,Cauvery,Arasalar,10.903611111111111,79.70722222222223,"Hydrology Division(HD),Chennai",Base
Kerlapal (Malinger),Chhattisgarh,SUKMA,Godavari,-,18.291944444444447,81.57,"Lower Godavari Division(LGD), Hyderabad",Base
Tharnam,Telangana,ADILABAD,Godavari,Sathanalla,19.739444444444445,78.56444444444445,"Wainganga Division(WD), Nagpur",Base
Mahagaon (Pus),Maharashtra,Yavatmal,Godavari,Pus,19.796111111111113,77.77305555555556,"Wainganga Division(WD), Nagpur",Base
Krishnarajasagar Reservoir,Karnataka,Mandya,Cauvery,Cauvery,12.425594444444444,76.57249999999999,"Cauvery Division, Bangaluru",Inflow
Jaunpur,Uttar Pradesh,JAUNPUR,Ganga,Gomti,25.749166666666667,82.67194444444445,"Middle Ganga Division-III(MGD-III), Varanasi",Level
GUMMANUR,Tamil Nadu,Krishnagiri,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar,12.555000000000001,78.13833333333334,"Southern River Division(SRD), Coimbatore",Base
Seorinarayan,Chhattisgarh,JANJGIR - CHAMPA,Mahanadi,Mahanadi,21.71833333333333,82.5975,"Mahanadi Division(MD), Burla",Base
Maithon Reservoir,Jharkhand,DHANBAD,Ganga,Barakar,23.779999999999998,86.81,"Damodar Division(DD), Asansol",Inflow
MALAKKARA,Kerala,PATHANAMTHITTA,West flowing rivers from Tapi to Tadri,Pamba,9.329166666666666,76.66388888888889,"Southern Western River Division(SWRD), Kochi",Level
